,neighbor,probability,distance,reference,id,perm
91,Bergmann,1.0378362,877.67346,Astrocytes,0,1
92,Bergmann,1.017043,898.0612,Astrocytes,0,1
93,Bergmann,1.0156112,918.449,Astrocytes,0,1
94,Bergmann,1.0157945,938.83673,Astrocytes,0,1
95,Bergmann,1.0298562,959.2245,Astrocytes,0,1
96,Bergmann,1.046125,979.61224,Astrocytes,0,1
97,Bergmann,1.0285997,1000.0,Astrocytes,0,1
98,Candelabrum,1.4717059,21.387754,Astrocytes,0,1
99,Candelabrum,1.4418129,41.77551,Astrocytes,0,1
100,Candelabrum,1.2396774,62.163265,Astrocytes,0,1
101,Candelabrum,1.163728,82.55102,Astrocytes,0,1
102,Candelabrum,1.0454029,102.938774,Astrocytes,0,1
103,Candelabrum,1.0019165,123.32653,Astrocytes,0,1
104,Candelabrum,1.151234,143.71428,Astrocytes,0,1
105,Candelabrum,1.0087,164.10204,Astrocytes,0,1
106,Candelabrum,0.8434727,184.48979,Astrocytes,0,1
107,Candelabrum,1.1056523,204.87755,Astrocytes,0,1
108,Candelabrum,1.2391315,225.2653,Astrocytes,0,1
109,Candelabrum,1.1240712,245.65306,Astrocytes,0,1
110,Candelabrum,1.1097525,266.0408,Astrocytes,0,1
111,Candelabrum,1.0774251,286.42856,Astrocytes,0,1
112,Candelabrum,1.3484316,306.8163,Astrocytes,0,1
113,Candelabrum,0.93965185,327.20407,Astrocytes,0,1
114,Candelabrum,1.2151395,347.59183,Astrocytes,0,1
115,Candelabrum,1.2465897,367.97958,Astrocytes,0,1
116,Candelabrum,1.1097856,388.36734,Astrocytes,0,1
117,Candelabrum,1.1175898,408.7551,Astrocytes,0,1
118,Candelabrum,1.2218039,429.14285,Astrocytes,0,1
119,Candelabrum,1.1428474,449.5306,Astrocytes,0,1
120,Candelabrum,0.99061245,469.91837,Astrocytes,0,1
121,Candelabrum,1.0002934,490.30612,Astrocytes,0,1
122,Candelabrum,0.99907327,510.69388,Astrocytes,0,1
123,Candelabrum,1.1650629,531.0816,Astrocytes,0,1
124,Candelabrum,1.0161831,551.46936,Astrocytes,0,1
125,Candelabrum,0.95921606,571.8571,Astrocytes,0,1
126,Candelabrum,0.96501046,592.2449,Astrocytes,0,1
127,Candelabrum,1.0247791,612.6326,Astrocytes,0,1
128,Candelabrum,1.0659302,633.0204,Astrocytes,0,1
129,Candelabrum,0.9867563,653.40814,Astrocytes,0,1
130,Candelabrum,1.1291673,673.7959,Astrocytes,0,1
131,Candelabrum,1.1627966,694.18365,Astrocytes,0,1
132,Candelabrum,0.917388,714.5714,Astrocytes,0,1
133,Candelabrum,1.0516996,734.95917,Astrocytes,0,1
134,Candelabrum,1.1769181,755.3469,Astrocytes,0,1
135,Candelabrum,1.0501378,775.7347,Astrocytes,0,1
136,Candelabrum,0.8772803,796.12244,Astrocytes,0,1
137,Candelabrum,1.0792967,816.5102,Astrocytes,0,1
138,Candelabrum,0.83911437,836.89795,Astrocytes,0,1
139,Candelabrum,1.0029273,857.2857,Astrocytes,0,1
140,Candelabrum,0.9767918,877.67346,Astrocytes,0,1
141,Candelabrum,1.0086672,898.0612,Astrocytes,0,1
142,Candelabrum,0.96828383,918.449,Astrocytes,0,1
143,Candelabrum,1.0142398,938.83673,Astrocytes,0,1
144,Candelabrum,1.0392038,959.2245,Astrocytes,0,1
145,Candelabrum,0.97709143,979.61224,Astrocytes,0,1
146,Candelabrum,0.9779437,1000.0,Astrocytes,0,1
147,Choroid,0.33502245,21.387754,Astrocytes,0,1
148,Choroid,1.0401138,41.77551,Astrocytes,0,1
149,Choroid,1.3463247,62.163265,Astrocytes,0,1
150,Choroid,1.0934356,82.55102,Astrocytes,0,1
151,Choroid,0.9841049,102.938774,Astrocytes,0,1
152,Choroid,1.467629,123.32653,Astrocytes,0,1
153,Choroid,1.6323394,143.71428,Astrocytes,0,1
154,Choroid,1.274419,164.10204,Astrocytes,0,1
155,Choroid,0.86782247,184.48979,Astrocytes,0,1
156,Choroid,0.60736555,204.87755,Astrocytes,0,1
157,Choroid,0.68706524,225.2653,Astrocytes,0,1
158,Choroid,0.8293973,245.65306,Astrocytes,0,1
159,Choroid,0.82950014,266.0408,Astrocytes,0,1
