,neighbor,probability,distance,reference,id,perm
86,Blood endothelial,,308.25674,"B cells, red pulp",0,1
87,Blood endothelial,,331.8919,"B cells, red pulp",0,1
88,Blood endothelial,,355.52704,"B cells, red pulp",0,1
89,Blood endothelial,,379.16217,"B cells, red pulp",0,1
90,Blood endothelial,,402.7973,"B cells, red pulp",0,1
91,Blood endothelial,,426.43243,"B cells, red pulp",0,1
92,Blood endothelial,,450.06757,"B cells, red pulp",0,1
93,Blood endothelial,,473.7027,"B cells, red pulp",0,1
94,Blood endothelial,,497.33783,"B cells, red pulp",0,1
95,Blood endothelial,,520.97296,"B cells, red pulp",0,1
96,Blood endothelial,,544.6081,"B cells, red pulp",0,1
97,Blood endothelial,,568.2432,"B cells, red pulp",0,1
98,Blood endothelial,,591.87836,"B cells, red pulp",0,1
99,Blood endothelial,,615.5135,"B cells, red pulp",0,1
100,Blood endothelial,,639.1486,"B cells, red pulp",0,1
101,Blood endothelial,,662.7838,"B cells, red pulp",0,1
102,Blood endothelial,,686.41895,"B cells, red pulp",0,1
103,Blood endothelial,,710.0541,"B cells, red pulp",0,1
104,Blood endothelial,,733.6892,"B cells, red pulp",0,1
105,Blood endothelial,,757.32434,"B cells, red pulp",0,1
106,Blood endothelial,,780.9595,"B cells, red pulp",0,1
107,Blood endothelial,,804.5946,"B cells, red pulp",0,1
108,Blood endothelial,,828.22974,"B cells, red pulp",0,1
109,Blood endothelial,,851.86487,"B cells, red pulp",0,1
110,Blood endothelial,,875.5,"B cells, red pulp",0,1
111,Blood endothelial,,899.13513,"B cells, red pulp",0,1
112,Blood endothelial,,922.77026,"B cells, red pulp",0,1
113,Blood endothelial,,946.4054,"B cells, red pulp",0,1
114,Blood endothelial,,970.0405,"B cells, red pulp",0,1
115,Blood endothelial,,993.67566,"B cells, red pulp",0,1
116,Blood endothelial,,1017.3108,"B cells, red pulp",0,1
117,Blood endothelial,,1040.9459,"B cells, red pulp",0,1
118,Blood endothelial,,1064.581,"B cells, red pulp",0,1
119,Blood endothelial,,1088.2162,"B cells, red pulp",0,1
120,Blood endothelial,,1111.8513,"B cells, red pulp",0,1
121,Blood endothelial,,1135.4865,"B cells, red pulp",0,1
122,Blood endothelial,,1159.1216,"B cells, red pulp",0,1
123,Blood endothelial,,1182.7567,"B cells, red pulp",0,1
124,Blood endothelial,,1206.3918,"B cells, red pulp",0,1
125,Blood endothelial,,1230.027,"B cells, red pulp",0,1
126,Blood endothelial,,1253.6621,"B cells, red pulp",0,1
127,Blood endothelial,,1277.2972,"B cells, red pulp",0,1
128,Blood endothelial,,1300.9324,"B cells, red pulp",0,1
129,Blood endothelial,,1324.5676,"B cells, red pulp",0,1
130,Blood endothelial,,1348.2028,"B cells, red pulp",0,1
131,Blood endothelial,,1371.8379,"B cells, red pulp",0,1
132,Blood endothelial,,1395.473,"B cells, red pulp",0,1
133,Blood endothelial,,1419.1082,"B cells, red pulp",0,1
134,Blood endothelial,,1442.7433,"B cells, red pulp",0,1
135,Blood endothelial,,1466.3784,"B cells, red pulp",0,1
136,Blood endothelial,,1490.0135,"B cells, red pulp",0,1
137,Blood endothelial,,1513.6487,"B cells, red pulp",0,1
138,Blood endothelial,,1537.2838,"B cells, red pulp",0,1
139,Blood endothelial,,1560.919,"B cells, red pulp",0,1
140,Blood endothelial,,1584.5541,"B cells, red pulp",0,1
141,Blood endothelial,,1608.1892,"B cells, red pulp",0,1
142,Blood endothelial,,1631.8243,"B cells, red pulp",0,1
143,Blood endothelial,,1655.4595,"B cells, red pulp",0,1
144,Blood endothelial,,1679.0946,"B cells, red pulp",0,1
145,Blood endothelial,,1702.7297,"B cells, red pulp",0,1
146,Blood endothelial,,1726.3649,"B cells, red pulp",0,1
147,Blood endothelial,,1750.0,"B cells, red pulp",0,1
148,CD4 Memory T cells,,24.635136,"B cells, red pulp",0,1
149,CD4 Memory T cells,,48.27027,"B cells, red pulp",0,1
150,CD4 Memory T cells,,71.9054,"B cells, red pulp",0,1
151,CD4 Memory T cells,,95.54054,"B cells, red pulp",0,1
152,CD4 Memory T cells,,119.175674,"B cells, red pulp",0,1
153,CD4 Memory T cells,,142.8108,"B cells, red pulp",0,1
154,CD4 Memory T cells,,166.44595,"B cells, red pulp",0,1
155,CD4 Memory T cells,,190.08109,"B cells, red pulp",0,1
156,CD4 Memory T cells,,213.71622,"B cells, red pulp",0,1
157,CD4 Memory T cells,,237.35135,"B cells, red pulp",0,1
158,CD4 Memory T cells,,260.98648,"B cells, red pulp",0,1
159,CD4 Memory T cells,,284.6216,"B cells, red pulp",0,1
160,CD4 Memory T cells,,308.25674,"B cells, red pulp",0,1
161,CD4 Memory T cells,,331.8919,"B cells, red pulp",0,1
162,CD4 Memory T cells,,355.52704,"B cells, red pulp",0,1
163,CD4 Memory T cells,,379.16217,"B cells, red pulp",0,1
164,CD4 Memory T cells,,402.7973,"B cells, red pulp",0,1
165,CD4 Memory T cells,,426.43243,"B cells, red pulp",0,1
166,CD4 Memory T cells,,450.06757,"B cells, red pulp",0,1
167,CD4 Memory T cells,,473.7027,"B cells, red pulp",0,1
168,CD4 Memory T cells,,497.33783,"B cells, red pulp",0,1
169,CD4 Memory T cells,,520.97296,"B cells, red pulp",0,1
170,CD4 Memory T cells,,544.6081,"B cells, red pulp",0,1
171,CD4 Memory T cells,,568.2432,"B cells, red pulp",0,1
172,CD4 Memory T cells,,591.87836,"B cells, red pulp",0,1
173,CD4 Memory T cells,,615.5135,"B cells, red pulp",0,1
174,CD4 Memory T cells,,639.1486,"B cells, red pulp",0,1
175,CD4 Memory T cells,,662.7838,"B cells, red pulp",0,1
176,CD4 Memory T cells,,686.41895,"B cells, red pulp",0,1
177,CD4 Memory T cells,,710.0541,"B cells, red pulp",0,1
178,CD4 Memory T cells,,733.6892,"B cells, red pulp",0,1
179,CD4 Memory T cells,,757.32434,"B cells, red pulp",0,1
180,CD4 Memory T cells,,780.9595,"B cells, red pulp",0,1
181,CD4 Memory T cells,,804.5946,"B cells, red pulp",0,1
182,CD4 Memory T cells,,828.22974,"B cells, red pulp",0,1
183,CD4 Memory T cells,,851.86487,"B cells, red pulp",0,1
184,CD4 Memory T cells,,875.5,"B cells, red pulp",0,1
185,CD4 Memory T cells,,899.13513,"B cells, red pulp",0,1
186,CD4 Memory T cells,,922.77026,"B cells, red pulp",0,1
187,CD4 Memory T cells,,946.4054,"B cells, red pulp",0,1
188,CD4 Memory T cells,,970.0405,"B cells, red pulp",0,1
189,CD4 Memory T cells,,993.67566,"B cells, red pulp",0,1
190,CD4 Memory T cells,,1017.3108,"B cells, red pulp",0,1
191,CD4 Memory T cells,,1040.9459,"B cells, red pulp",0,1
192,CD4 Memory T cells,,1064.581,"B cells, red pulp",0,1
193,CD4 Memory T cells,,1088.2162,"B cells, red pulp",0,1
194,CD4 Memory T cells,,1111.8513,"B cells, red pulp",0,1
195,CD4 Memory T cells,,1135.4865,"B cells, red pulp",0,1
196,CD4 Memory T cells,,1159.1216,"B cells, red pulp",0,1
197,CD4 Memory T cells,,1182.7567,"B cells, red pulp",0,1
198,CD4 Memory T cells,,1206.3918,"B cells, red pulp",0,1
199,CD4 Memory T cells,,1230.027,"B cells, red pulp",0,1
200,CD4 Memory T cells,,1253.6621,"B cells, red pulp",0,1
201,CD4 Memory T cells,,1277.2972,"B cells, red pulp",0,1
202,CD4 Memory T cells,,1300.9324,"B cells, red pulp",0,1
203,CD4 Memory T cells,,1324.5676,"B cells, red pulp",0,1
204,CD4 Memory T cells,,1348.2028,"B cells, red pulp",0,1
205,CD4 Memory T cells,,1371.8379,"B cells, red pulp",0,1
206,CD4 Memory T cells,,1395.473,"B cells, red pulp",0,1
207,CD4 Memory T cells,,1419.1082,"B cells, red pulp",0,1
208,CD4 Memory T cells,,1442.7433,"B cells, red pulp",0,1
209,CD4 Memory T cells,,1466.3784,"B cells, red pulp",0,1
210,CD4 Memory T cells,,1490.0135,"B cells, red pulp",0,1
211,CD4 Memory T cells,,1513.6487,"B cells, red pulp",0,1
212,CD4 Memory T cells,,1537.2838,"B cells, red pulp",0,1
213,CD4 Memory T cells,,1560.919,"B cells, red pulp",0,1
214,CD4 Memory T cells,,1584.5541,"B cells, red pulp",0,1
215,CD4 Memory T cells,,1608.1892,"B cells, red pulp",0,1
216,CD4 Memory T cells,,1631.8243,"B cells, red pulp",0,1
217,CD4 Memory T cells,,1655.4595,"B cells, red pulp",0,1
218,CD4 Memory T cells,,1679.0946,"B cells, red pulp",0,1
219,CD4 Memory T cells,,1702.7297,"B cells, red pulp",0,1
220,CD4 Memory T cells,,1726.3649,"B cells, red pulp",0,1
221,CD4 Memory T cells,,1750.0,"B cells, red pulp",0,1
222,CD8 Memory T cells,,24.635136,"B cells, red pulp",0,1
223,CD8 Memory T cells,,48.27027,"B cells, red pulp",0,1
224,CD8 Memory T cells,,71.9054,"B cells, red pulp",0,1
225,CD8 Memory T cells,,95.54054,"B cells, red pulp",0,1
226,CD8 Memory T cells,,119.175674,"B cells, red pulp",0,1
227,CD8 Memory T cells,,142.8108,"B cells, red pulp",0,1
228,CD8 Memory T cells,,166.44595,"B cells, red pulp",0,1
229,CD8 Memory T cells,,190.08109,"B cells, red pulp",0,1
230,CD8 Memory T cells,,213.71622,"B cells, red pulp",0,1
231,CD8 Memory T cells,,237.35135,"B cells, red pulp",0,1
232,CD8 Memory T cells,,260.98648,"B cells, red pulp",0,1
233,CD8 Memory T cells,,284.6216,"B cells, red pulp",0,1
234,CD8 Memory T cells,,308.25674,"B cells, red pulp",0,1
235,CD8 Memory T cells,,331.8919,"B cells, red pulp",0,1
236,CD8 Memory T cells,,355.52704,"B cells, red pulp",0,1
237,CD8 Memory T cells,,379.16217,"B cells, red pulp",0,1
238,CD8 Memory T cells,,402.7973,"B cells, red pulp",0,1
239,CD8 Memory T cells,,426.43243,"B cells, red pulp",0,1
240,CD8 Memory T cells,,450.06757,"B cells, red pulp",0,1
241,CD8 Memory T cells,,473.7027,"B cells, red pulp",0,1
242,CD8 Memory T cells,,497.33783,"B cells, red pulp",0,1
