,neighbor,Z,scale,reference,id,perm
132,C,1.4025571,1009.13574,A,0,1
133,C,1.3682433,1037.2512,A,0,1
134,C,1.4194512,1065.3667,A,0,1
135,C,1.4492105,1093.4822,A,0,1
136,C,1.5662575,1121.5977,A,0,1
137,C,1.5917288,1149.713,A,0,1
138,C,1.6391457,1177.8285,A,0,1
139,C,1.611824,1205.944,A,0,1
140,C,1.4787835,1234.0594,A,0,1
141,C,1.2964511,1262.1749,A,0,1
142,C,1.0796288,1290.2904,A,0,1
143,C,0.87234974,1318.4058,A,0,1
144,C,0.69931656,1346.5212,A,0,1
145,C,0.53409386,1374.6367,A,0,1
146,C,0.4634149,1402.7522,A,0,1
147,D,0.13051528,53.210125,A,0,1
148,D,0.224693,81.325584,A,0,1
149,D,0.3201721,109.44105,A,0,1
150,D,0.41607037,137.5565,A,0,1
151,D,0.516998,165.67197,A,0,1
152,D,0.61913234,193.78743,A,0,1
153,D,0.70923173,221.90288,A,0,1
154,D,0.78703046,250.01834,A,0,1
155,D,0.84721625,278.1338,A,0,1
156,D,0.8968276,306.24927,A,0,1
157,D,0.9438581,334.36472,A,0,1
158,D,0.98514944,362.4802,A,0,1
159,D,1.0349737,390.59564,A,0,1
160,D,1.0934173,418.7111,A,0,1
161,D,1.1495129,446.82657,A,0,1
162,D,1.2048016,474.94202,A,0,1
163,D,1.2558715,503.0575,A,0,1
164,D,1.2882906,531.1729,A,0,1
165,D,1.3140117,559.2884,A,0,1
166,D,1.3254404,587.4039,A,0,1
167,D,1.307369,615.51935,A,0,1
168,D,1.2650684,643.63477,A,0,1
169,D,1.2230898,671.75024,A,0,1
170,D,1.1782808,699.8657,A,0,1
171,D,1.1331439,727.98114,A,0,1
172,D,1.0882674,756.0966,A,0,1
173,D,1.0457524,784.2121,A,0,1
174,D,1.0042777,812.3275,A,0,1
175,D,0.96274614,840.443,A,0,1
176,D,0.92951244,868.5585,A,0,1
177,D,0.89328516,896.67395,A,0,1
178,D,0.8588721,924.78937,A,0,1
179,D,0.8277464,952.90485,A,0,1
180,D,0.80296636,981.0203,A,0,1
181,D,0.7888018,1009.13574,A,0,1
182,D,0.7878733,1037.2512,A,0,1
183,D,0.7999221,1065.3667,A,0,1
184,D,0.8169512,1093.4822,A,0,1
185,D,0.84573984,1121.5977,A,0,1
186,D,0.87374127,1149.713,A,0,1
187,D,0.9074201,1177.8285,A,0,1
188,D,0.9396079,1205.944,A,0,1
189,D,0.9739285,1234.0594,A,0,1
190,D,0.99949855,1262.1749,A,0,1
191,D,1.0181015,1290.2904,A,0,1
192,D,1.0324689,1318.4058,A,0,1
